phases,sfcode,numfr,numint,weight
MZ2,CLO,1,0,14.88
MZ2,CLO,0,1,33
MZ2,CLO,,,
MZ2,CLO,0,1,60
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,0,1,37.67
MZ2,CLO,,,
MZ2,CLO,0,1,26
MZ2,CLO,,,
MZ2,CLO,0,1,48
MZ2,CLO,,,
MZ2,CLO,1,0,16
MZ2,CLO,2,0,14
MZ2,CLO,0,1,37.28
MZ2,CLO,0,1,13
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,0,1,32
MZ2,CLO,0,1,10.46
MZ2,CLO,0,1,30
MZ2,CLO,0,1,23.85
MZ2,CLO,1,1,18
MZ2,CLO,1,0,46
MZ2,CLO,1,0,26
MZ2,CLO,0,1,39
MZ2,CLO,1,0,6.6
MZ2,CLO,1,0,6
MZ2,CLO,,,
MZ2,CLO,1,0,14
MZ2,CLO,0,1,51
MZ2,CLO,0,1,11.67
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,2,0,9.86
MZ2,CLO,0,1,50
MZ2,CLO,3,10,518
MZ2,BRQ,2,0,2137
MZ2,CLO,1,0,15.06
MZ2,CLO,0,1,47
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,,,
MZ2,CLO,0,1,23.05
MZ2,CLO,0,1,28
MZ2,CLO,1,0,14.3
MZ2,CLO,0,1,24.61
MZ2,CLO,0,1,17
MZ2,CLO,0,1,29
MZ2,CLO,,,
MZ2,CLO,0,1,19.54
MZ2,CLO,0,1,15.54
MZ2,CLO,,,
MZ2,CLO,0,1,26
MZ2,CLO,0,1,50
MZ2,CLO,,,
MZ2,CLO,1,0,16.27
MZ2,CLO,0,1,12.2
MZ2,CLO,0,1,52
MZ2,CLO,1,0,2
MZ2,CLO,0,1,30.63
MZ2,CLO,2,0,33
MZ2,CRD,1,0,1.93
MZ2,SLA,2,0,193
MZ2,SLA,44,0,417
MZ2,CLO,1,0,15
MZ2,CLO,2,0,4
MZ2,SLA,21,0,576
MZ2,SLA,25,0,152
MZ2,SLA,4,0,191
MZ2,CLO,1,0,57
MZ2,SLA,1,0,11
MZ2,CLO,0,1,54
MZ2,CLO,1,0,28
MZ2,CLO,2,0,4
MZ2,LAM,1,0,2.53
MZ2,CLO,,,
MZ2,YYY,1,0,28
MZ2,CLO,1,0,30
MZ2,SLA,0,7,191
MZ2,YYY,1,0,19
MZ2,FLW,1,0,39.79
MZ2,LAM,0,2,21
MZ2,EPG,1,0,0.2
MZ2,LAM,1,1,0
